iter	Logloss
0	0.6401820849
1	0.6033182005
2	0.5617551521
3	0.5233232576
4	0.4882639827
5	0.4632721455
6	0.4406149354
7	0.4215049044
8	0.3989860739
9	0.378158373
10	0.3630570772
11	0.347506368
12	0.3357588654
13	0.3260621528
14	0.3141590458
15	0.3053501545
16	0.2967047183
17	0.2887524341
18	0.2814955734
19	0.274958419
20	0.2671510877
21	0.2620521404
22	0.2574610153
23	0.2525184731
24	0.2473293922
25	0.2421426801
26	0.2384408573
27	0.2348781137
28	0.2318511017
29	0.2276645112
30	0.2251544745
31	0.2229893084
32	0.2209834194
33	0.2187130768
34	0.2170801896
35	0.2154077905
36	0.2140600773
37	0.212382012
38	0.2109741294
39	0.2093689149
40	0.2081433349
41	0.206159265
42	0.2042599136
43	0.2035083966
44	0.2025669516
45	0.2013722736
46	0.2002798427
47	0.1993253067
48	0.1982428407
49	0.197763128
50	0.1971235455
51	0.1967148391
52	0.1959312811
53	0.1951339298
54	0.1939948399
55	0.1934628793
56	0.1931961699
57	0.1926246108
58	0.1918854144
59	0.1906528727
60	0.1903331874
61	0.1900822
62	0.1895725344
63	0.1892410232
64	0.1882393424
65	0.1880183397
66	0.1877121425
67	0.1872542454
68	0.18705474
69	0.1867752444
70	0.1863174699
71	0.1859773177
72	0.1857923768
73	0.1855113967
74	0.1850543672
75	0.184717615
76	0.1844513979
77	0.1841277276
78	0.183624228
79	0.1834407268
80	0.1832499612
81	0.1829946506
82	0.182478116
83	0.1821249701
84	0.1819070873
85	0.1816720003
86	0.1812195134
87	0.1807835595
88	0.180386054
89	0.1802200673
90	0.1800758894
91	0.1795877223
92	0.179354986
93	0.1792602879
94	0.1791437357
95	0.1787924219
96	0.1785318165
97	0.1782962194
98	0.1780781554
99	0.1779204823
100	0.1777831254
101	0.1776762621
102	0.1775954876
103	0.1774895711
104	0.1773729809
105	0.1770958217
106	0.1770129909
107	0.1769032322
108	0.1767664653
109	0.1765246441
110	0.1763286707
111	0.1762196267
112	0.1761246311
113	0.1760259885
114	0.1759702088
115	0.175879646
116	0.1757758781
117	0.1756907803
118	0.1755599656
119	0.1753680526
120	0.175320658
121	0.1751767432
122	0.1751038191
123	0.1749611385
124	0.174877628
125	0.1747340473
126	0.1746538184
127	0.1745654549
128	0.1744932645
129	0.1743976281
130	0.1743079106
131	0.1742293041
132	0.1740891225
133	0.1739744824
134	0.1739284659
135	0.1738227701
136	0.1737458369
137	0.1736414129
138	0.1735365084
139	0.1734131879
140	0.173326075
141	0.1731764971
142	0.1730882357
143	0.1730070552
144	0.1729699467
145	0.1729206988
146	0.1728076161
147	0.1727689353
148	0.17272454
149	0.1725372591
150	0.172489429
151	0.1724096806
152	0.1723582657
153	0.1722746839
154	0.1721967705
155	0.1720756269
156	0.1720198635
157	0.171929968
158	0.1719030393
159	0.1718666823
160	0.171781528
161	0.1717353244
162	0.1716944097
163	0.1715727945
164	0.1714854604
165	0.171379418
166	0.17132788
167	0.1712537999
168	0.1711633117
169	0.1710869612
170	0.1710034294
171	0.1709127915
172	0.1707932976
173	0.1707381849
174	0.1705592798
175	0.1705176872
176	0.1704623181
177	0.1703860712
178	0.1702356173
179	0.1701127243
180	0.1700424268
181	0.1699815139
182	0.1698236857
183	0.169746602
184	0.1697223819
185	0.1696908835
186	0.1696530302
187	0.1695801565
188	0.1695474835
189	0.1695036273
190	0.1694561366
191	0.1693310401
192	0.1692781862
193	0.169230178
194	0.1691434517
195	0.169124172
196	0.168996857
197	0.1689606473
198	0.1688665848
199	0.168803203
200	0.168716382
201	0.1686744944
202	0.1686314851
203	0.1685512212
204	0.1685135025
205	0.1684734178
206	0.1684339998
207	0.1683391402
208	0.1682915781
209	0.1682480368
210	0.1682068098
211	0.16810755
212	0.1680624455
213	0.1680197478
214	0.1679725104
215	0.1679442983
216	0.1678564691
217	0.1678166912
218	0.1677769602
219	0.1677593912
220	0.1677252496
221	0.16766932
222	0.167618479
223	0.1675712075
224	0.1675082236
225	0.1674459412
226	0.1673979373
