iter	Passed	Remaining
0	12	12950
1	17	8967
2	23	7689
3	29	7278
4	34	6947
5	40	6635
6	45	6446
7	51	6385
8	57	6292
9	65	6505
10	71	6407
11	76	6305
12	82	6236
13	87	6177
14	93	6130
15	98	6080
16	104	6030
17	110	6001
18	115	5951
19	120	5925
20	126	5890
21	131	5853
22	136	5806
23	142	5790
24	147	5760
25	153	5735
26	158	5717
27	164	5696
28	169	5676
29	174	5655
30	181	5660
31	186	5655
32	192	5634
33	197	5616
34	203	5602
35	208	5581
36	214	5575
37	220	5582
38	226	5569
39	231	5561
40	237	5550
41	243	5546
42	248	5528
43	254	5524
44	260	5521
45	265	5516
46	271	5506
47	277	5503
48	282	5488
49	288	5479
50	293	5466
51	299	5456
52	305	5449
53	310	5442
54	316	5439
55	322	5433
56	328	5428
57	334	5425
58	339	5416
59	345	5412
60	350	5401
61	356	5396
62	362	5388
63	367	5381
64	374	5381
65	379	5373
66	385	5364
67	390	5357
68	396	5350
69	402	5341
70	407	5333
71	413	5328
72	418	5317
73	424	5317
74	430	5310
75	436	5302
76	442	5302
77	447	5293
78	453	5287
79	459	5284
80	464	5274
81	470	5267
82	476	5263
83	482	5257
84	487	5252
85	493	5247
86	499	5243
87	505	5239
88	511	5235
89	517	5230
90	523	5225
91	528	5218
92	534	5212
93	540	5209
94	546	5203
95	551	5196
96	557	5190
97	562	5181
98	568	5171
99	573	5163
100	579	5159
101	585	5156
102	592	5157
103	597	5151
104	603	5144
105	609	5139
106	615	5133
107	620	5126
108	626	5117
109	631	5108
110	637	5104
111	643	5098
112	648	5088
113	653	5078
114	659	5073
115	664	5064
116	671	5065
117	677	5062
118	682	5054
119	689	5052
120	694	5046
121	700	5038
122	706	5037
123	712	5030
124	717	5023
125	723	5016
126	728	5008
127	734	5001
128	739	4996
129	745	4989
130	751	4984
131	757	4978
132	763	4975
133	768	4966
134	774	4961
135	780	4955
136	786	4952
137	791	4945
138	797	4940
139	803	4935
140	809	4929
141	814	4923
142	820	4914
143	826	4913
144	832	4906
145	837	4901
146	844	4897
147	849	4891
148	855	4886
149	861	4880
150	867	4875
151	872	4868
152	878	4863
153	884	4856
154	889	4849
155	895	4844
156	901	4837
157	906	4831
158	912	4825
159	917	4818
160	923	4811
161	928	4805
162	935	4801
163	940	4794
164	946	4792
165	953	4788
166	959	4787
167	966	4785
168	973	4786
169	979	4783
170	986	4784
171	993	4781
172	1000	4780
173	1006	4779
174	1013	4777
175	1019	4774
176	1025	4768
177	1031	4762
178	1036	4756
179	1042	4749
180	1048	4746
181	1054	4740
182	1060	4733
183	1066	4728
184	1071	4721
185	1078	4718
186	1084	4715
187	1090	4710
188	1096	4703
189	1102	4699
190	1107	4692
191	1113	4688
192	1120	4683
193	1126	4678
194	1131	4671
195	1137	4665
196	1142	4658
197	1148	4651
198	1154	4645
199	1159	4639
200	1165	4633
201	1171	4627
202	1177	4621
203	1182	4615
204	1188	4608
205	1193	4600
206	1199	4595
207	1205	4589
208	1211	4583
209	1216	4577
210	1222	4570
211	1227	4563
212	1233	4558
213	1239	4553
214	1245	4547
215	1251	4541
216	1257	4536
217	1262	4530
218	1268	4522
219	1273	4515
220	1278	4508
221	1284	4501
222	1290	4495
223	1295	4488
224	1301	4481
225	1306	4474
226	1312	4468
227	1317	4462
228	1323	4455
229	1329	4449
230	1335	4444
231	1340	4438
232	1346	4434
233	1352	4428
234	1358	4422
235	1364	4416
236	1370	4411
237	1375	4405
238	1381	4397
239	1387	4392
240	1392	4386
241	1398	4380
242	1404	4375
243	1410	4369
244	1416	4363
245	1421	4356
246	1427	4351
247	1433	4345
248	1438	4339
249	1444	4332
250	1450	4328
251	1455	4321
252	1462	4317
253	1467	4310
254	1473	4305
255	1479	4298
256	1484	4292
257	1490	4287
258	1496	4282
259	1502	4276
260	1508	4270
261	1513	4263
262	1519	4257
263	1525	4251
264	1530	4244
265	1536	4239
266	1541	4232
267	1547	4226
268	1553	4220
269	1558	4213
270	1564	4207
271	1570	4202
272	1576	4197
273	1582	4192
274	1587	4185
275	1593	4178
276	1598	4173
277	1604	4167
278	1610	4160
279	1616	4155
280	1621	4149
281	1627	4142
282	1633	4137
283	1638	4131
284	1644	4125
285	1649	4119
286	1655	4113
287	1661	4107
288	1666	4099
289	1671	4093
290	1677	4087
291	1682	4079
292	1688	4074
293	1694	4068
294	1700	4063
295	1706	4058
296	1712	4052
297	1717	4046
298	1723	4040
299	1729	4034
300	1734	4028
301	1740	4022
302	1745	4016
303	1751	4009
304	1757	4004
305	1762	3997
306	1768	3992
307	1774	3986
308	1780	3981
309	1786	3976
310	1792	3971
311	1798	3966
312	1804	3961
313	1810	3956
314	1816	3950
315	1821	3943
316	1827	3938
317	1833	3931
318	1838	3925
319	1844	3919
320	1850	3913
321	1855	3907
322	1861	3901
323	1867	3896
324	1872	3889
325	1878	3883
326	1883	3876
327	1889	3870
328	1894	3864
329	1901	3859
330	1906	3853
331	1911	3846
332	1917	3841
333	1923	3835
334	1928	3828
335	1934	3822
336	1939	3816
337	1946	3811
338	1951	3805
339	1957	3799
340	1962	3793
341	1968	3787
342	1974	3781
343	1979	3775
344	1985	3769
345	1991	3763
346	1996	3757
347	2002	3751
348	2007	3745
349	2013	3739
350	2019	3733
351	2024	3727
352	2030	3721
