| Model                         |   Accuracy |   Balanced Accuracy | ROC AUC   |   F1 Score |   Time Taken |
|:------------------------------|-----------:|--------------------:|:----------|-----------:|-------------:|
| NearestCentroid               |   0.774041 |            0.748348 |           |   0.808323 |     0.186577 |
| LGBMClassifier                |   0.915007 |            0.747505 |           |   0.910312 |     0.612167 |
| GaussianNB                    |   0.822365 |            0.733805 |           |   0.841775 |     0.195084 |
| DecisionTreeClassifier        |   0.88781  |            0.731643 |           |   0.887959 |     0.362964 |
| BernoulliNB                   |   0.814959 |            0.728268 |           |   0.836154 |     0.230713 |
| LinearDiscriminantAnalysis    |   0.905294 |            0.727278 |           |   0.900446 |     0.526111 |
| RandomForestClassifier        |   0.909786 |            0.715549 |           |   0.902369 |     2.38707  |
| BaggingClassifier             |   0.904687 |            0.715335 |           |   0.898481 |     1.32475  |
| Perceptron                    |   0.88271  |            0.701094 |           |   0.880627 |     0.200392 |
| LogisticRegression            |   0.905537 |            0.686374 |           |   0.894972 |     0.550117 |
| CalibratedClassifierCV        |   0.904322 |            0.683901 |           |   0.893693 |     6.00377  |
| KNeighborsClassifier          |   0.89728  |            0.68214  |           |   0.888323 |     5.62006  |
| AdaBoostClassifier            |   0.90578  |            0.681158 |           |   0.89432  |     2.41969  |
| ExtraTreeClassifier           |   0.870811 |            0.67249  |           |   0.868516 |     0.204876 |
| LinearSVC                     |   0.903715 |            0.669727 |           |   0.890912 |     1.8128   |
| SVC                           |   0.903594 |            0.662075 |           |   0.889472 |    18.0391   |
| ExtraTreesClassifier          |   0.898373 |            0.661792 |           |   0.885739 |     2.49288  |
| RidgeClassifier               |   0.901287 |            0.648722 |           |   0.885339 |     0.230851 |
| RidgeClassifierCV             |   0.90153  |            0.648414 |           |   0.885446 |     0.449293 |
| PassiveAggressiveClassifier   |   0.886353 |            0.639365 |           |   0.873474 |     0.197551 |
| QuadraticDiscriminantAnalysis |   0.303181 |            0.602347 |           |   0.336698 |     0.413808 |
| SGDClassifier                 |   0.891938 |            0.586321 |           |   0.86461  |     0.349896 |
| DummyClassifier               |   0.882103 |            0.5      |           |   0.826847 |     0.161415 |
